Year,Month,Date,Station,Min_Temp_C,Avg_Temp_C,Max_Temp_C,Avg_Humidity_%,Avg_Pressure_hPa,Avg_Wind_Speed_kmh,Max_Wind_Speed_kmh,Total_Precipitation_mm,Common_Condition
2006,2,2006-02-06,Mace Head,0.4,4.88,10.1,87.53,1010.49,18.63,34.0,101.6,Rainy
2006,2,2006-02-07,Mace Head,1.5,4.72,8.7,82.98,1009.11,16.89,33.7,80.5,Rainy
2006,2,2006-02-08,Mace Head,1.2,5.46,9.4,83.35,1011.06,21.41,34.6,84.1,Rainy
2006,2,2006-02-09,Mace Head,0.6,5.08,9.7,84.65,1010.34,21.34,34.5,86.5,Rainy
2006,2,2006-02-10,Mace Head,0.1,4.99,9.4,83.65,1012.94,19.19,32.5,86.5,Rainy
2006,2,2006-02-11,Mace Head,0.5,4.67,9.6,84.33,1004.79,19.47,34.8,84.1,Rainy
2006,2,2006-02-12,Mace Head,-0.7,4.59,10.4,85.2,1010.98,21.48,32.5,98.1,Rainy
2006,2,2006-02-13,Mace Head,0.3,4.97,10.0,84.32,1009.53,18.32,33.0,87.8,Rainy
2006,2,2006-02-14,Mace Head,0.2,4.54,9.3,85.54,1009.62,20.12,30.3,86.1,Rainy
2006,2,2006-02-15,Mace Head,0.8,4.9,10.1,85.05,1009.0,15.48,31.3,72.6,Rainy
2006,2,2006-02-16,Mace Head,0.1,5.0,9.4,81.98,1011.68,20.88,34.6,114.3,Rainy
2006,2,2006-02-17,Mace Head,1.2,5.18,9.1,86.61,1009.47,18.47,34.2,97.0,Rainy
2006,2,2006-02-18,Mace Head,0.2,4.45,9.1,86.25,1010.78,19.72,34.9,101.4,Rainy
2006,2,2006-02-19,Mace Head,0.4,4.51,9.2,84.97,1009.43,21.9,31.5,101.0,Rainy
2006,2,2006-02-20,Mace Head,1.0,5.14,9.2,84.39,1010.5,20.45,34.8,83.5,Rainy
2006,2,2006-02-21,Mace Head,0.6,4.79,8.7,85.16,1011.51,22.78,33.6,86.1,Rainy
2006,2,2006-02-22,Mace Head,2.1,5.42,9.5,83.47,1010.81,22.17,32.0,90.0,Rainy
2006,2,2006-02-23,Mace Head,0.6,4.6,9.0,81.18,1010.21,23.1,35.0,73.9,Rainy
2006,2,2006-02-24,Mace Head,1.1,5.17,10.6,85.31,1012.86,21.18,34.2,91.5,Rainy
2006,2,2006-02-25,Mace Head,0.1,4.68,8.6,85.52,1008.18,17.95,31.3,94.5,Rainy
2006,2,2006-02-26,Mace Head,0.1,5.03,9.2,84.16,1011.52,19.32,34.1,69.8,Rainy
2006,2,2006-02-27,Mace Head,-0.3,5.25,8.6,86.51,1010.41,20.48,33.5,79.8,Rainy
2006,2,2006-02-28,Mace Head,0.2,4.51,8.8,83.97,1010.69,21.32,34.1,69.6,Cloudy
2006,3,2006-03-01,Mace Head,3.0,7.95,12.2,85.47,1013.45,17.61,33.3,58.9,Rainy
2006,3,2006-03-02,Mace Head,4.1,8.52,13.6,84.79,1009.99,22.48,34.0,85.6,Rainy
2006,3,2006-03-03,Mace Head,3.1,8.88,13.6,84.41,1010.46,20.38,34.6,80.9,Rainy
2006,3,2006-03-04,Mace Head,3.4,8.57,14.0,84.01,1009.32,19.28,33.7,73.6,Rainy
2006,3,2006-03-05,Mace Head,3.6,8.37,12.5,83.6,1012.77,20.2,34.1,53.1,Rainy
2006,3,2006-03-06,Mace Head,3.6,8.21,12.0,84.39,1009.41,21.94,34.5,96.1,Rainy
2006,3,2006-03-07,Mace Head,3.5,8.33,13.7,84.21,1011.02,19.71,34.9,66.1,Rainy
2006,3,2006-03-08,Mace Head,4.7,9.0,13.3,83.82,1009.11,19.36,34.7,81.8,Rainy
2006,3,2006-03-09,Mace Head,3.9,8.24,14.4,83.94,1008.93,22.42,33.7,91.7,Rainy
2006,3,2006-03-10,Mace Head,3.9,8.22,13.5,86.07,1008.19,20.97,34.8,84.1,Rainy
2006,3,2006-03-11,Mace Head,3.7,7.9,11.8,85.89,1009.3,21.15,35.0,55.7,Rainy
2006,3,2006-03-12,Mace Head,3.1,8.23,12.4,85.09,1009.21,21.55,32.6,56.8,Rainy
2006,3,2006-03-13,Mace Head,3.0,7.9,12.4,86.51,1012.42,20.01,32.8,62.2,Rainy
2006,3,2006-03-14,Mace Head,3.8,9.04,13.8,85.52,1009.05,21.42,34.6,78.6,Rainy
2006,3,2006-03-15,Mace Head,4.6,8.67,13.9,85.4,1011.4,22.1,34.6,67.3,Rainy
2006,3,2006-03-16,Mace Head,3.8,9.06,14.1,86.62,1011.08,21.52,34.7,77.3,Rainy
2006,3,2006-03-17,Mace Head,3.2,8.39,12.2,84.63,1011.82,15.6,29.4,67.1,Rainy
2006,3,2006-03-18,Mace Head,3.7,8.23,14.1,86.21,1010.05,18.17,31.9,88.5,Rainy
2006,3,2006-03-19,Mace Head,3.2,8.64,13.0,86.28,1011.1,18.81,32.0,88.7,Rainy
2006,3,2006-03-20,Mace Head,3.6,8.78,14.1,85.57,1009.51,24.02,34.3,53.3,Cloudy
2006,3,2006-03-21,Mace Head,3.6,8.97,14.1,86.18,1009.56,21.93,33.6,90.5,Rainy
2006,3,2006-03-22,Mace Head,4.8,9.02,13.5,84.61,1007.82,21.11,34.1,92.8,Rainy
2006,3,2006-03-23,Mace Head,2.2,8.87,12.5,84.16,1012.23,16.83,34.0,78.6,Rainy
2006,3,2006-03-24,Mace Head,3.8,8.68,13.7,87.35,1009.25,19.72,34.0,59.3,Rainy
2006,3,2006-03-25,Mace Head,3.5,8.5,13.1,86.66,1012.5,18.99,34.0,76.9,Rainy
2006,3,2006-03-26,Mace Head,3.5,7.85,13.1,83.81,1011.88,20.26,34.4,76.2,Rainy
2006,3,2006-03-27,Mace Head,3.1,8.22,14.4,84.9,1011.03,17.72,32.9,62.6,Partly Cloudy
2006,3,2006-03-28,Mace Head,4.5,9.02,13.8,86.31,1008.45,19.87,33.3,89.9,Rainy
2006,3,2006-03-29,Mace Head,4.0,7.94,12.3,84.08,1010.2,20.68,33.4,87.1,Rainy
2006,3,2006-03-30,Mace Head,4.2,8.65,13.4,84.4,1010.36,20.35,33.0,73.4,Rainy
2006,3,2006-03-31,Mace Head,3.5,8.08,13.2,85.37,1009.69,18.25,33.8,67.7,Rainy
2006,4,2006-04-01,Mace Head,5.6,8.95,12.6,85.3,1011.05,20.14,33.8,76.6,Rainy
2006,4,2006-04-02,Mace Head,3.5,8.54,13.7,85.93,1011.4,18.32,33.2,78.9,Rainy
2006,4,2006-04-03,Mace Head,3.4,9.0,14.1,84.08,1010.95,17.97,28.1,91.9,Rainy
2006,4,2006-04-04,Mace Head,3.6,8.17,13.4,84.85,1008.56,21.16,34.8,98.5,Rainy
2006,4,2006-04-05,Mace Head,4.2,8.61,14.1,85.27,1011.32,18.71,33.9,81.9,Rainy
2006,4,2006-04-06,Mace Head,3.2,7.67,11.9,86.68,1008.11,18.37,34.3,60.7,Cloudy
2006,4,2006-04-07,Mace Head,4.0,8.6,13.2,84.42,1010.06,18.87,30.3,55.3,Rainy
2006,4,2006-04-08,Mace Head,5.1,9.25,14.8,84.26,1010.65,21.62,34.1,54.9,Cloudy
2006,4,2006-04-09,Mace Head,4.4,8.16,12.8,84.38,1009.21,16.57,34.7,87.2,Rainy
2006,4,2006-04-10,Mace Head,3.6,8.32,12.2,82.88,1011.1,20.48,34.6,72.4,Rainy
2006,4,2006-04-11,Mace Head,2.7,8.18,10.7,85.11,1015.1,18.66,34.5,84.0,Rainy
2006,4,2006-04-12,Mace Head,3.8,8.76,13.3,84.62,1011.16,21.13,34.5,68.4,Rainy
2006,4,2006-04-13,Mace Head,4.2,8.24,14.1,84.79,1008.68,19.06,34.0,52.9,Cloudy
2006,4,2006-04-14,Mace Head,4.2,8.74,14.2,87.55,1010.15,20.41,34.8,73.0,Rainy
2006,4,2006-04-15,Mace Head,4.8,8.96,13.2,84.85,1006.79,17.24,34.5,58.0,Rainy
2006,4,2006-04-16,Mace Head,4.1,8.2,13.8,83.64,1008.83,22.05,34.8,47.6,Cloudy
2006,4,2006-04-17,Mace Head,4.5,8.33,12.3,84.91,1009.25,22.13,33.9,94.5,Rainy
2006,4,2006-04-18,Mace Head,3.3,8.66,13.7,86.19,1008.43,22.94,33.4,83.7,Rainy
2006,4,2006-04-19,Mace Head,3.9,8.89,14.7,85.65,1010.44,22.21,34.9,63.3,Rainy
2006,4,2006-04-20,Mace Head,3.8,8.45,13.9,84.54,1010.22,16.93,33.0,87.7,Rainy
2006,4,2006-04-21,Mace Head,3.9,7.95,12.8,85.31,1009.15,22.37,34.4,80.7,Rainy
2006,4,2006-04-22,Mace Head,2.6,8.69,14.1,86.29,1012.34,19.93,33.2,96.7,Rainy
2006,4,2006-04-23,Mace Head,3.3,8.35,13.7,86.11,1008.62,18.63,32.7,93.5,Rainy
2006,4,2006-04-24,Mace Head,5.4,8.35,13.5,84.42,1010.69,20.27,33.1,95.3,Rainy
2006,4,2006-04-25,Mace Head,3.8,8.22,14.4,84.29,1012.25,18.85,33.6,82.7,Rainy
2006,4,2006-04-26,Mace Head,3.5,8.48,13.4,85.14,1012.45,17.62,33.5,81.4,Rainy
2006,4,2006-04-27,Mace Head,3.8,8.55,14.0,85.19,1012.36,19.91,34.9,92.3,Rainy
2006,4,2006-04-28,Mace Head,5.0,8.55,12.5,85.79,1009.85,20.21,34.1,105.5,Rainy
2006,4,2006-04-29,Mace Head,3.6,8.18,13.3,86.56,1010.84,17.63,34.6,79.1,Rainy
2006,4,2006-04-30,Mace Head,4.3,8.8,14.2,84.92,1008.74,21.1,34.5,90.4,Rainy
2006,5,2006-05-01,Mace Head,4.7,8.73,13.6,86.44,1009.14,19.95,33.3,78.1,Rainy
2006,5,2006-05-02,Mace Head,3.5,8.96,13.2,86.06,1009.16,24.12,35.0,89.5,Rainy
2006,5,2006-05-03,Mace Head,4.3,8.77,14.1,86.19,1009.59,18.32,34.6,68.4,Rainy
2006,5,2006-05-04,Mace Head,4.5,8.28,12.2,86.03,1010.04,22.62,33.1,115.5,Rainy
2006,5,2006-05-05,Mace Head,3.3,8.82,13.4,85.32,1010.11,17.94,29.8,61.5,Rainy
2006,5,2006-05-06,Mace Head,3.3,8.6,12.4,83.71,1008.37,21.94,34.9,48.5,Clear
2006,5,2006-05-07,Mace Head,3.5,8.22,11.8,83.05,1009.79,21.63,34.2,75.0,Rainy
2006,5,2006-05-08,Mace Head,2.7,8.39,13.7,84.75,1011.45,23.19,34.3,57.2,Rainy
2006,5,2006-05-09,Mace Head,3.2,7.85,12.0,84.89,1011.48,20.64,33.8,69.0,Rainy
2006,5,2006-05-10,Mace Head,3.9,8.64,12.5,85.17,1009.7,19.68,34.3,68.4,Rainy
2006,5,2006-05-11,Mace Head,5.0,8.79,12.3,84.78,1011.22,18.22,35.0,49.4,Cloudy
2006,5,2006-05-12,Mace Head,4.9,8.36,13.4,84.13,1010.96,19.38,34.0,76.5,Rainy
2006,5,2006-05-13,Mace Head,3.3,8.9,14.0,85.27,1010.58,20.05,32.3,57.4,Rainy
2006,5,2006-05-14,Mace Head,4.3,8.43,13.9,84.46,1008.95,18.98,34.3,87.7,Rainy
2006,5,2006-05-15,Mace Head,3.7,8.4,14.0,84.2,1009.75,20.08,34.5,52.4,Partly Cloudy
2006,5,2006-05-16,Mace Head,3.0,8.2,13.9,83.52,1009.88,21.52,32.8,67.9,Rainy
2006,5,2006-05-17,Mace Head,4.1,8.38,13.5,85.43,1009.87,23.62,33.7,78.0,Rainy
2006,5,2006-05-18,Mace Head,4.0,8.65,12.6,87.0,1010.47,18.78,32.7,45.7,Cloudy
2006,5,2006-05-19,Mace Head,3.4,8.25,13.3,84.45,1013.0,19.2,33.9,84.3,Rainy
2006,5,2006-05-20,Mace Head,3.5,8.62,13.4,85.15,1008.37,20.68,34.9,57.5,Rainy
2006,5,2006-05-21,Mace Head,3.6,8.67,13.6,83.77,1010.85,18.07,32.6,102.2,Rainy
2006,5,2006-05-22,Mace Head,4.8,8.34,13.0,86.64,1009.37,20.51,33.3,100.1,Rainy
2006,5,2006-05-23,Mace Head,4.2,8.58,14.2,84.91,1010.94,19.99,34.6,80.4,Rainy
2006,5,2006-05-24,Mace Head,3.7,8.19,13.7,86.49,1010.61,22.06,33.7,90.9,Rainy
2006,5,2006-05-25,Mace Head,4.5,8.82,14.1,84.92,1007.08,22.29,34.7,62.9,Rainy
2006,5,2006-05-26,Mace Head,3.9,8.21,13.7,84.43,1011.32,18.94,34.3,93.5,Rainy
2006,5,2006-05-27,Mace Head,3.7,8.87,12.2,86.65,1008.72,19.35,33.2,54.6,Rainy
2006,5,2006-05-28,Mace Head,4.0,8.3,12.1,86.2,1007.06,18.63,33.8,64.3,Rainy
2006,5,2006-05-29,Mace Head,3.8,8.08,12.5,83.52,1010.55,18.98,34.6,60.6,Cloudy
2006,5,2006-05-30,Mace Head,4.6,9.04,12.9,83.91,1009.38,20.97,34.5,100.0,Rainy
2006,5,2006-05-31,Mace Head,4.2,8.44,12.9,84.32,1008.85,21.69,34.2,85.5,Rainy
2006,6,2006-06-01,Mace Head,9.6,15.02,20.0,84.32,1008.55,19.45,34.7,61.6,Rainy
2006,6,2006-06-02,Mace Head,10.8,14.8,20.3,84.61,1006.73,21.72,34.5,80.6,Rainy
2006,6,2006-06-03,Mace Head,10.7,14.67,20.0,84.3,1010.82,23.22,34.5,61.6,Rainy
2006,6,2006-06-04,Mace Head,10.3,14.32,20.0,85.0,1007.3,24.56,34.7,60.8,Rainy
2006,6,2006-06-05,Mace Head,9.7,15.05,20.5,84.28,1010.67,19.48,33.8,97.7,Rainy
2006,6,2006-06-06,Mace Head,8.7,14.2,18.5,85.09,1012.35,18.68,34.7,57.7,Rainy
2006,6,2006-06-07,Mace Head,9.8,14.05,18.6,86.17,1010.41,21.2,33.5,79.7,Rainy
2006,6,2006-06-08,Mace Head,8.9,14.54,19.5,83.49,1011.25,17.03,33.2,61.9,Rainy
2006,6,2006-06-09,Mace Head,8.7,14.24,18.0,85.67,1011.15,21.01,33.9,63.4,Rainy
2006,6,2006-06-10,Mace Head,10.5,14.27,18.9,83.89,1010.45,22.42,34.9,46.4,Cloudy
2006,6,2006-06-11,Mace Head,10.7,14.59,18.6,84.66,1011.31,19.22,34.4,77.6,Rainy
2006,6,2006-06-12,Mace Head,9.7,14.16,18.3,85.56,1010.55,20.9,34.4,100.6,Rainy
2006,6,2006-06-13,Mace Head,12.4,14.93,20.0,85.49,1007.48,21.27,32.7,71.7,Rainy
2006,6,2006-06-14,Mace Head,8.6,14.34,19.3,84.67,1011.43,19.43,33.0,68.1,Rainy
2006,6,2006-06-15,Mace Head,10.4,14.35,19.1,87.14,1010.28,19.88,35.0,63.9,Rainy
2006,6,2006-06-16,Mace Head,9.2,14.02,18.7,84.7,1009.65,19.79,34.0,87.3,Rainy
2006,6,2006-06-17,Mace Head,11.0,14.75,18.6,84.98,1008.08,19.17,32.8,54.4,Rainy
2006,6,2006-06-18,Mace Head,9.4,14.29,19.2,84.43,1013.09,21.1,32.9,60.9,Rainy
2006,6,2006-06-19,Mace Head,9.1,14.8,20.2,84.04,1012.6,18.25,31.6,63.6,Rainy
2006,6,2006-06-20,Mace Head,8.7,14.68,19.2,88.25,1008.52,19.63,32.7,80.4,Rainy
2006,6,2006-06-21,Mace Head,8.8,14.62,18.3,82.89,1009.03,22.92,34.6,85.1,Rainy
2006,6,2006-06-22,Mace Head,10.2,14.26,18.9,84.32,1008.64,24.75,34.8,91.2,Rainy
2006,6,2006-06-23,Mace Head,10.2,14.66,18.4,84.72,1008.28,18.54,33.0,95.5,Rainy
2006,6,2006-06-24,Mace Head,9.0,14.14,18.8,83.5,1012.18,20.35,33.6,75.8,Rainy
2006,6,2006-06-25,Mace Head,9.6,14.62,19.3,82.41,1008.57,18.11,31.3,76.3,Rainy
2006,6,2006-06-26,Mace Head,9.2,14.42,18.3,86.33,1008.67,17.49,33.6,82.4,Rainy
2006,6,2006-06-27,Mace Head,10.0,14.73,19.4,86.06,1011.65,25.01,33.9,56.9,Rainy
2006,6,2006-06-28,Mace Head,9.0,14.22,18.7,82.8,1008.58,21.71,33.9,64.8,Rainy
2006,6,2006-06-29,Mace Head,9.8,14.82,19.8,84.75,1012.98,23.52,32.1,65.0,Rainy
2006,6,2006-06-30,Mace Head,10.6,14.29,19.1,85.75,1010.2,22.85,34.4,92.5,Rainy
2006,7,2006-07-01,Mace Head,9.4,14.86,19.4,85.59,1006.44,17.5,34.9,87.5,Rainy
2006,7,2006-07-02,Mace Head,10.9,14.32,18.2,85.06,1010.88,21.96,34.2,60.9,Rainy
2006,7,2006-07-03,Mace Head,10.4,14.87,19.4,84.49,1010.45,20.47,32.5,70.9,Rainy
2006,7,2006-07-04,Mace Head,10.8,14.86,19.9,86.51,1010.71,20.92,33.0,92.7,Rainy
2006,7,2006-07-05,Mace Head,10.8,14.87,19.1,84.9,1010.67,20.88,33.6,86.9,Rainy
2006,7,2006-07-06,Mace Head,9.6,14.62,19.5,84.57,1009.53,21.03,34.8,80.2,Rainy
2006,7,2006-07-07,Mace Head,9.7,14.36,19.0,87.79,1009.22,18.88,32.7,89.8,Rainy
2006,7,2006-07-08,Mace Head,9.4,14.68,19.7,84.5,1010.31,19.16,31.8,86.2,Rainy
2006,7,2006-07-09,Mace Head,9.8,14.28,18.9,83.94,1011.52,20.6,34.1,78.0,Rainy
2006,7,2006-07-10,Mace Head,10.2,14.72,18.5,84.9,1010.64,19.63,34.0,75.9,Rainy
2006,7,2006-07-11,Mace Head,8.6,14.19,19.1,82.75,1009.42,21.3,34.8,68.8,Rainy
2006,7,2006-07-12,Mace Head,9.0,14.57,18.5,83.74,1006.7,17.65,31.9,63.7,Rainy
2006,7,2006-07-13,Mace Head,11.5,14.79,18.7,85.16,1010.22,19.53,35.0,58.4,Rainy
2006,7,2006-07-14,Mace Head,9.7,14.38,19.6,85.5,1008.25,19.94,34.6,89.3,Rainy
2006,7,2006-07-15,Mace Head,9.0,14.39,18.4,86.61,1008.85,18.96,35.0,70.9,Rainy
2006,7,2006-07-16,Mace Head,10.6,15.21,19.9,84.71,1011.08,17.27,33.7,69.5,Rainy
2006,7,2006-07-17,Mace Head,9.7,14.74,19.8,82.96,1012.36,16.95,34.3,95.7,Rainy
2006,7,2006-07-18,Mace Head,10.8,15.01,19.1,83.1,1010.75,20.22,34.9,51.4,Partly Cloudy
2006,7,2006-07-19,Mace Head,9.7,14.12,17.7,84.22,1008.84,20.59,34.7,48.7,Rainy
2006,7,2006-07-20,Mace Head,9.5,15.04,19.9,85.35,1008.65,20.58,34.8,76.7,Rainy
2006,7,2006-07-21,Mace Head,8.8,14.24,18.5,84.53,1010.21,20.62,32.6,79.4,Rainy
2006,7,2006-07-22,Mace Head,8.5,14.31,19.6,83.52,1009.2,21.73,34.5,43.4,Cloudy
2006,7,2006-07-23,Mace Head,8.8,14.02,19.1,84.92,1011.93,19.24,32.0,98.7,Rainy
2006,7,2006-07-24,Mace Head,9.6,14.21,19.8,85.09,1009.99,21.32,34.0,81.3,Rainy
2006,7,2006-07-25,Mace Head,9.4,14.1,18.5,85.91,1013.35,20.35,34.5,79.1,Rainy
2006,7,2006-07-26,Mace Head,9.6,14.56,18.7,84.55,1010.36,20.17,34.8,49.8,Cloudy
2006,7,2006-07-27,Mace Head,9.2,14.23,19.2,84.61,1010.52,17.89,33.5,62.0,Rainy
2006,7,2006-07-28,Mace Head,9.7,14.35,19.8,85.03,1009.45,19.28,33.7,77.6,Rainy
2006,7,2006-07-29,Mace Head,10.3,14.7,19.5,86.13,1007.49,19.87,34.3,88.6,Rainy
2006,7,2006-07-30,Mace Head,9.0,14.66,18.8,84.88,1012.44,19.36,34.9,74.9,Rainy
2006,7,2006-07-31,Mace Head,11.5,14.9,18.9,83.42,1006.92,17.89,35.0,89.7,Rainy
2006,8,2006-08-01,Mace Head,9.9,14.49,19.6,86.42,1009.37,18.62,33.3,72.3,Rainy
2006,8,2006-08-02,Mace Head,9.2,14.32,19.2,83.58,1010.36,24.15,34.6,82.9,Rainy
2006,8,2006-08-03,Mace Head,9.7,14.8,19.4,85.29,1009.29,22.68,34.5,56.0,Rainy
2006,8,2006-08-04,Mace Head,8.8,14.5,19.2,85.48,1011.12,20.67,33.2,98.2,Rainy
2006,8,2006-08-05,Mace Head,8.6,14.8,19.1,87.4,1010.75,20.09,33.4,64.5,Rainy
2006,8,2006-08-06,Mace Head,9.3,14.06,19.4,84.94,1009.23,23.12,34.5,70.5,Rainy
2006,8,2006-08-07,Mace Head,9.4,14.57,20.2,87.82,1009.7,12.95,34.5,74.4,Rainy
2006,8,2006-08-08,Mace Head,10.5,14.38,19.1,85.72,1009.03,20.74,33.5,69.9,Rainy
2006,8,2006-08-09,Mace Head,10.5,14.68,18.7,82.17,1009.58,19.23,33.1,69.1,Rainy
2006,8,2006-08-10,Mace Head,10.4,14.64,18.8,85.38,1008.35,20.65,33.3,49.2,Clear
2006,8,2006-08-11,Mace Head,11.2,14.75,19.8,84.15,1007.42,22.05,34.8,59.0,Rainy
2006,8,2006-08-12,Mace Head,9.6,14.87,19.7,85.63,1008.01,17.55,34.2,80.0,Rainy
2006,8,2006-08-13,Mace Head,8.6,13.78,17.5,84.22,1007.88,21.9,34.6,67.4,Rainy
2006,8,2006-08-14,Mace Head,11.7,15.08,19.3,85.38,1006.65,23.25,34.9,87.7,Rainy
2006,8,2006-08-15,Mace Head,10.0,14.49,19.6,83.73,1010.42,20.78,33.1,85.5,Rainy
2006,8,2006-08-16,Mace Head,9.2,14.78,20.6,82.77,1010.77,22.35,34.8,53.1,Rainy
2006,8,2006-08-17,Mace Head,8.5,14.51,18.2,83.62,1009.12,19.15,34.6,84.7,Rainy
2006,8,2006-08-18,Mace Head,9.0,14.56,19.4,86.39,1008.76,23.12,34.3,66.8,Rainy
2006,8,2006-08-19,Mace Head,9.4,14.11,20.1,85.41,1009.25,16.0,34.7,83.5,Rainy
2006,8,2006-08-20,Mace Head,9.1,14.52,19.9,85.21,1011.56,20.17,33.9,97.8,Rainy
2006,8,2006-08-21,Mace Head,10.6,14.52,19.6,83.52,1013.37,19.15,33.6,69.4,Rainy
2006,8,2006-08-22,Mace Head,9.4,14.11,19.4,84.05,1009.28,19.59,33.0,80.6,Rainy
2006,8,2006-08-23,Mace Head,10.4,14.38,19.0,84.19,1012.38,20.16,34.5,79.6,Rainy
2006,8,2006-08-24,Mace Head,9.6,14.68,18.8,84.59,1009.71,18.35,34.8,63.0,Rainy
2006,8,2006-08-25,Mace Head,8.8,14.28,18.6,84.2,1009.6,21.46,34.7,71.8,Rainy
2006,8,2006-08-26,Mace Head,10.4,14.78,19.7,85.38,1010.02,20.31,33.1,88.9,Rainy
2006,8,2006-08-27,Mace Head,11.5,14.65,19.4,82.82,1007.42,21.25,34.7,68.3,Rainy
